x=77.713346,y=26.083176
x=77.705218,y=26.211093
x=77.697042,y=26.339206
x=77.688820,y=26.467514
x=77.680551,y=26.596020
x=77.672235,y=26.724725
x=77.663872,y=26.853630
x=77.655461,y=26.982736
x=77.647002,y=27.112045
x=77.638496,y=27.241557
x=77.629942,y=27.371275
x=77.621339,y=27.501200
x=77.612688,y=27.631332
x=77.603989,y=27.761674
x=77.595241,y=27.892226
x=77.586444,y=28.022990
x=77.577598,y=28.153967
x=77.568703,y=28.285159
x=77.559758,y=28.416567
x=77.550764,y=28.548193
x=77.541720,y=28.680037
x=77.532626,y=28.812101
x=77.523481,y=28.944387
x=77.514287,y=29.076896
x=77.505041,y=29.209630
x=77.495745,y=29.342589
x=77.486398,y=29.475775
x=77.476998,y=29.609189
x=77.467542,y=29.742831
x=77.458010,y=29.876691
x=77.448314,y=30.010719
x=77.438040,y=30.144682
x=77.425319,y=30.277506
x=77.402851,y=30.404975
x=77.353412,y=30.517059
x=77.268791,y=30.608777
x=77.165145,y=30.689271
x=77.056010,y=30.766320
x=76.945747,y=30.842446
x=76.835378,y=30.918245
x=76.725124,y=30.993848
x=76.615032,y=31.069283
x=76.505111,y=31.144558
x=76.395361,y=31.219674
x=76.285781,y=31.294632
x=76.176372,y=31.369434
x=76.067130,y=31.444080
x=75.958057,y=31.518572
x=75.849149,y=31.592910
x=75.740407,y=31.667094
x=75.631829,y=31.741127
x=75.523414,y=31.815008
x=75.415161,y=31.888739
x=75.307068,y=31.962320
x=75.199135,y=32.035752
x=75.091361,y=32.109037
x=74.983745,y=32.182174
x=74.876285,y=32.255165
x=74.768980,y=32.328011
x=74.661830,y=32.400712
x=74.554833,y=32.473269
x=74.447988,y=32.545683
x=74.341295,y=32.617955
x=74.234752,y=32.690086
x=74.128357,y=32.762076
x=74.022111,y=32.833926
x=73.916012,y=32.905637
x=73.810060,y=32.977210
x=73.704252,y=33.048645
x=73.598588,y=33.119943
x=73.493068,y=33.191106
x=73.387689,y=33.262134
x=73.282452,y=33.333027
x=73.177354,y=33.403786
x=73.072396,y=33.474412
x=72.967576,y=33.544907
x=72.862893,y=33.615270
x=72.758346,y=33.685502
x=72.653935,y=33.755604
x=72.549657,y=33.825577
x=72.445513,y=33.895421
x=72.341502,y=33.965138
x=72.237621,y=34.034728
x=72.133872,y=34.104191
x=72.030251,y=34.173528
x=71.926760,y=34.242741
x=71.823396,y=34.311830
x=71.720159,y=34.380795
x=71.617047,y=34.449637
x=71.514061,y=34.518357
x=71.411199,y=34.586955
x=71.308459,y=34.655433
x=71.205842,y=34.723790
x=71.103346,y=34.792029
x=71.000971,y=34.860148
x=70.898715,y=34.928150
x=70.796578,y=34.996034
x=70.694558,y=35.063801
x=70.592656,y=35.131452
x=70.490869,y=35.198988
x=70.389197,y=35.266409
x=70.287640,y=35.333716
x=70.186196,y=35.400910
x=70.084865,y=35.467990
x=69.983645,y=35.534959
x=69.882536,y=35.601816
x=69.781537,y=35.668562
x=69.680647,y=35.735197
x=69.579866,y=35.801724
x=69.479191,y=35.868141
x=69.378624,y=35.934449
x=69.278162,y=36.000650
x=69.177805,y=36.066744
x=69.077552,y=36.132731
x=68.977403,y=36.198612
x=68.877356,y=36.264388
x=68.777411,y=36.330059
x=68.677566,y=36.395626
x=68.577822,y=36.461089
x=68.478176,y=36.526450
x=68.378630,y=36.591708
x=68.279180,y=36.656864
x=68.179828,y=36.721920
x=68.080572,y=36.786874
x=67.981411,y=36.851729
x=67.882344,y=36.916484
x=67.783371,y=36.981140
x=67.684491,y=37.045698
x=67.585703,y=37.110158
x=67.487006,y=37.174521
x=67.388400,y=37.238788
x=67.289884,y=37.302958
x=67.191456,y=37.367033
x=67.093117,y=37.431013
x=66.994866,y=37.494899
x=66.896701,y=37.558691
x=66.798622,y=37.622389
x=66.700629,y=37.685995
x=66.602720,y=37.749509
x=66.504894,y=37.812931
x=66.407152,y=37.876262
x=66.309492,y=37.939502
x=66.211913,y=38.002653
x=66.114415,y=38.065714
x=66.016997,y=38.128686
x=65.919659,y=38.191570
x=65.822399,y=38.254365
x=65.725216,y=38.317074
x=65.628111,y=38.379695
x=65.531083,y=38.442230
x=65.434130,y=38.504679
x=65.337252,y=38.567043
x=65.240448,y=38.629322
x=65.143717,y=38.691517
x=65.047060,y=38.753628
x=64.950474,y=38.815656
x=64.853960,y=38.877601
x=64.757517,y=38.939464
x=64.661143,y=39.001245
x=64.564839,y=39.062945
x=64.468604,y=39.124564
x=64.372436,y=39.186102
x=64.276335,y=39.247561
x=64.180301,y=39.308941
x=64.084333,y=39.370241
x=63.988430,y=39.431464
x=63.892591,y=39.492608
x=63.796816,y=39.553675
x=63.701104,y=39.614666
x=63.605455,y=39.675580
x=63.509867,y=39.736417
x=63.414340,y=39.797180
x=63.318873,y=39.857867
x=63.223467,y=39.918480
x=63.128119,y=39.979019
x=63.032829,y=40.039484
x=62.937597,y=40.099876
x=62.842422,y=40.160195
x=62.747304,y=40.220443
x=62.652241,y=40.280618
x=62.557233,y=40.340722
x=62.462280,y=40.400756
x=62.367380,y=40.460718
x=62.272533,y=40.520611
x=62.177739,y=40.580435
x=62.082996,y=40.640189
x=61.988304,y=40.699875
x=61.893663,y=40.759493
x=61.799072,y=40.819043
x=61.704529,y=40.878526
x=61.610035,y=40.937941
x=61.515589,y=40.997291
x=61.421191,y=41.056575
x=61.326838,y=41.115793
x=61.232532,y=41.174946
x=61.138271,y=41.234034
x=61.044055,y=41.293058
x=60.949882,y=41.352019
x=60.855753,y=41.410916
x=60.761667,y=41.469750
x=60.667623,y=41.528521
x=60.573620,y=41.587231
x=60.479658,y=41.645879
x=60.385736,y=41.704465
x=60.291854,y=41.762991
x=60.198011,y=41.821457
x=60.104206,y=41.879862
x=60.010439,y=41.938208
x=59.916709,y=41.996495
x=59.823016,y=42.054723
x=59.729358,y=42.112892
x=59.635736,y=42.171004
x=59.542148,y=42.229058
x=59.448594,y=42.287055
x=59.355074,y=42.344996
x=59.261586,y=42.402880
x=59.168131,y=42.460708
x=59.074707,y=42.518481
x=58.981314,y=42.576199
x=58.887952,y=42.633862
x=58.794619,y=42.691470
x=58.701315,y=42.749025
x=58.608040,y=42.806527
x=58.514792,y=42.863975
x=58.421572,y=42.921370
x=58.328379,y=42.978714
x=58.235212,y=43.036005
x=58.142070,y=43.093245
x=58.048953,y=43.150434
x=57.955860,y=43.207571
x=57.862791,y=43.264659
x=57.769746,y=43.321697
x=57.676722,y=43.378685
x=57.583721,y=43.435623
x=57.490740,y=43.492513
x=57.397781,y=43.549355
x=57.304841,y=43.606148
x=57.211921,y=43.662894
x=57.119020,y=43.719593
x=57.026138,y=43.776244
x=56.933273,y=43.832849
x=56.840425,y=43.889408
x=56.747593,y=43.945921
x=56.654778,y=44.002389
x=56.561978,y=44.058811
x=56.469193,y=44.115189
x=56.376421,y=44.171523
x=56.283664,y=44.227812
x=56.190919,y=44.284058
x=56.098187,y=44.340261
x=56.005467,y=44.396421
x=55.912757,y=44.452539
x=55.820059,y=44.508614
x=55.727370,y=44.564648
x=55.634691,y=44.620640
x=55.542021,y=44.676592
x=55.449359,y=44.732502
x=55.356705,y=44.788373
x=55.264058,y=44.844203
x=55.171418,y=44.899994
x=55.078783,y=44.955746
x=54.986154,y=45.011459
x=54.893530,y=45.067133
x=54.800910,y=45.122770
x=54.708293,y=45.178368
x=54.615680,y=45.233929
x=54.523069,y=45.289453
x=54.430459,y=45.344941
x=54.337851,y=45.400391
x=54.245244,y=45.455806
x=54.152637,y=45.511186
x=54.060030,y=45.566530
x=53.967421,y=45.621839
x=53.874811,y=45.677113
x=53.782199,y=45.732353
x=53.689583,y=45.787560
x=53.596965,y=45.842733
x=53.504342,y=45.897872
x=53.411715,y=45.952979
x=53.319083,y=46.008053
x=53.226445,y=46.063095
x=53.133801,y=46.118105
x=53.041150,y=46.173084
x=52.948492,y=46.228031
x=52.855826,y=46.282948
x=52.763151,y=46.337834
x=52.670467,y=46.392691
x=52.577773,y=46.447517
x=52.485069,y=46.502314
x=52.392353,y=46.557082
x=52.299627,y=46.611821
x=52.206888,y=46.666532
x=52.114137,y=46.721215
x=52.021372,y=46.775870
x=51.928594,y=46.830497
x=51.835801,y=46.885098
x=51.742993,y=46.939672
x=51.650169,y=46.994219
x=51.557330,y=47.048741
x=51.464473,y=47.103236
x=51.371600,y=47.157707
x=51.278708,y=47.212152
x=51.185798,y=47.266573
x=51.092869,y=47.320969
x=50.999920,y=47.375341
x=50.906951,y=47.429690
x=50.813961,y=47.484015
x=50.720949,y=47.538317
x=50.627916,y=47.592596
x=50.534860,y=47.646853
x=50.441780,y=47.701088
x=50.348677,y=47.755302
x=50.255550,y=47.809494
x=50.162398,y=47.863665
x=50.069220,y=47.917815
x=49.976016,y=47.971945
x=49.882785,y=48.026054
x=49.789527,y=48.080144
x=49.696241,y=48.134215
x=49.602927,y=48.188267
x=49.509583,y=48.242300
x=49.416210,y=48.296314
x=49.322806,y=48.350310
x=49.229372,y=48.404289
x=49.135906,y=48.458250
x=49.042408,y=48.512194
x=48.948877,y=48.566122
x=48.855313,y=48.620033
x=48.761716,y=48.673927
x=48.668083,y=48.727806
x=48.574416,y=48.781670
x=48.480713,y=48.835518
x=48.386974,y=48.889352
x=48.293198,y=48.943171
x=48.199384,y=48.996976
x=48.105533,y=49.050767
x=48.011642,y=49.104545
x=47.917713,y=49.158310
x=47.823743,y=49.212061
x=47.729733,y=49.265800
x=47.635682,y=49.319527
x=47.541589,y=49.373242
x=47.447454,y=49.426946
x=47.353276,y=49.480638
x=47.259054,y=49.534320
x=47.164789,y=49.587991
x=47.070478,y=49.641651
x=46.976122,y=49.695302
x=46.881720,y=49.748943
x=46.787272,y=49.802575
x=46.692776,y=49.856198
x=46.598232,y=49.909812
x=46.503640,y=49.963418
x=46.408998,y=50.017016
x=46.314307,y=50.070607
x=46.219566,y=50.124190
x=46.124774,y=50.177766
x=46.029930,y=50.231335
x=45.935034,y=50.284898
x=45.840085,y=50.338456
x=45.745082,y=50.392007
x=45.650025,y=50.445553
x=45.554914,y=50.499094
x=45.459747,y=50.552631
x=45.364524,y=50.606162
x=45.269245,y=50.659690
x=45.173908,y=50.713215
x=45.078513,y=50.766735
x=44.983060,y=50.820253
x=44.887547,y=50.873768
x=44.791975,y=50.927281
x=44.696342,y=50.980791
x=44.600648,y=51.034300
