x=-178.640351,y=-130.387845,z=0.211430
x=-178.630569,y=-130.354664,z=0.212951
x=-178.620788,y=-130.321483,z=0.214472
x=-178.611006,y=-130.288302,z=0.215993
x=-178.601224,y=-130.255121,z=0.217514
x=-178.591443,y=-130.221940,z=0.219036
x=-178.581661,y=-130.188760,z=0.220557
x=-178.571879,y=-130.155579,z=0.222078
x=-178.562098,y=-130.122398,z=0.223599
x=-178.552316,y=-130.089217,z=0.225120
x=-178.542534,y=-130.056036,z=0.226641
x=-178.532753,y=-130.022855,z=0.228162
x=-178.522971,y=-129.989674,z=0.229683
x=-178.513189,y=-129.956493,z=0.231204
x=-178.503408,y=-129.923312,z=0.232725
x=-178.493626,y=-129.890131,z=0.234246
x=-178.483844,y=-129.856950,z=0.235767
x=-178.474063,y=-129.823769,z=0.237289
x=-178.464281,y=-129.790588,z=0.238810
x=-178.454500,y=-129.757407,z=0.240331
x=-178.444718,y=-129.724226,z=0.241852
x=-178.434936,y=-129.691045,z=0.243373
x=-178.425155,y=-129.657864,z=0.244894
x=-178.415373,y=-129.624683,z=0.246415
x=-178.405591,y=-129.591502,z=0.247936
x=-178.395810,y=-129.558321,z=0.249457
x=-178.386028,y=-129.525140,z=0.250978
x=-178.376246,y=-129.491959,z=0.252499
x=-178.366465,y=-129.458778,z=0.254020
x=-178.356683,y=-129.425597,z=0.255542
x=-178.346901,y=-129.392416,z=0.257063
x=-178.337120,y=-129.359235,z=0.258584
x=-178.327338,y=-129.326054,z=0.260105
x=-178.317556,y=-129.292873,z=0.261626
x=-178.307775,y=-129.259692,z=0.263147
x=-178.297993,y=-129.226511,z=0.264668
x=-178.288211,y=-129.193330,z=0.266189
x=-178.278430,y=-129.160149,z=0.267710
x=-178.268648,y=-129.126968,z=0.269231
x=-178.258867,y=-129.093788,z=0.270752
x=-178.249085,y=-129.060607,z=0.272273
x=-178.239303,y=-129.027426,z=0.273794
x=-178.229522,y=-128.994245,z=0.275316
x=-178.219740,y=-128.961064,z=0.276837
x=-178.209958,y=-128.927883,z=0.278358
x=-178.200177,y=-128.894702,z=0.279879
x=-178.190395,y=-128.861521,z=0.281400
x=-178.180613,y=-128.828340,z=0.282921
x=-178.170832,y=-128.795159,z=0.284442
x=-178.161050,y=-128.761978,z=0.285963
x=-178.151268,y=-128.728797,z=0.287484
x=-178.141487,y=-128.695616,z=0.289005
x=-178.131705,y=-128.662435,z=0.290526
x=-178.121923,y=-128.629254,z=0.292047
x=-178.112142,y=-128.596073,z=0.293569
x=-178.102360,y=-128.562892,z=0.295090
x=-178.092579,y=-128.529711,z=0.296611
x=-178.082797,y=-128.496530,z=0.298132
x=-178.073015,y=-128.463349,z=0.299653
x=-178.063234,y=-128.430168,z=0.301174
x=-178.053452,y=-128.396987,z=0.302695
x=-178.043670,y=-128.363806,z=0.304216
x=-178.033889,y=-128.330625,z=0.305737
x=-178.024107,y=-128.297444,z=0.307258
x=-178.014325,y=-128.264263,z=0.308779
x=-178.004544,y=-128.231082,z=0.310300
x=-177.994762,y=-128.197901,z=0.311821
x=-177.984980,y=-128.164720,z=0.313343
x=-177.975199,y=-128.131539,z=0.314864
x=-177.965417,y=-128.098358,z=0.316385
x=-177.955635,y=-128.065177,z=0.317906
x=-177.945854,y=-128.031997,z=0.319427
x=-177.936072,y=-127.998816,z=0.320948
x=-177.926290,y=-127.965635,z=0.322469
x=-177.916509,y=-127.932454,z=0.323990
x=-177.906727,y=-127.899273,z=0.325511
x=-177.896946,y=-127.866092,z=0.327032
x=-177.887164,y=-127.832911,z=0.328553
x=-177.877382,y=-127.799730,z=0.330074
x=-177.867601,y=-127.766549,z=0.331596
x=-177.857819,y=-127.733368,z=0.333117
x=-177.848037,y=-127.700187,z=0.334638
x=-177.838256,y=-127.667006,z=0.336159
x=-177.828474,y=-127.633825,z=0.337680
x=-177.818692,y=-127.600644,z=0.339201
x=-177.808911,y=-127.567463,z=0.340722
x=-177.799129,y=-127.534282,z=0.342243
x=-177.789347,y=-127.501101,z=0.343764
x=-177.779566,y=-127.467920,z=0.345285
x=-177.769784,y=-127.434739,z=0.346806
x=-177.760002,y=-127.401558,z=0.348327
x=-177.750221,y=-127.368377,z=0.349848
x=-177.740439,y=-127.335196,z=0.351370
x=-177.730658,y=-127.302015,z=0.352891
x=-177.720876,y=-127.268834,z=0.354412
x=-177.711094,y=-127.235653,z=0.355933
x=-177.701313,y=-127.202472,z=0.357454
x=-177.691531,y=-127.169291,z=0.358975
x=-177.681749,y=-127.136110,z=0.360496
x=-177.671968,y=-127.102929,z=0.362017
x=-177.662186,y=-127.069748,z=0.363538
x=-177.652404,y=-127.036567,z=0.365059
x=-177.642623,y=-127.003386,z=0.366580
x=-177.632841,y=-126.970206,z=0.368101
x=-177.623059,y=-126.937025,z=0.369623
x=-177.613278,y=-126.903844,z=0.371144
x=-177.603496,y=-126.870663,z=0.372665
x=-177.593714,y=-126.837482,z=0.374186
x=-177.583933,y=-126.804301,z=0.375707
x=-177.574151,y=-126.771120,z=0.377228
x=-177.564369,y=-126.737939,z=0.378749
x=-177.554588,y=-126.704758,z=0.380270
x=-177.544806,y=-126.671577,z=0.381791
x=-177.535025,y=-126.638396,z=0.383312
x=-177.525243,y=-126.605215,z=0.384833
x=-177.515461,y=-126.572034,z=0.386354
