x=-33.746975,y=43.613951
x=-33.885081,y=43.366097
x=-34.022705,y=43.118027
x=-34.159843,y=42.869750
x=-34.296486,y=42.621275
x=-34.432631,y=42.372614
x=-34.568270,y=42.123775
x=-34.703397,y=41.874769
x=-34.838007,y=41.625605
x=-34.972094,y=41.376294
x=-35.105650,y=41.126846
x=-35.238671,y=40.877269
x=-35.371150,y=40.627574
x=-35.503081,y=40.377770
x=-35.634457,y=40.127868
x=-35.765272,y=39.877877
x=-35.895521,y=39.627807
x=-36.025197,y=39.377667
x=-36.154293,y=39.127466
x=-36.282803,y=38.877216
x=-36.410722,y=38.626924
x=-36.538042,y=38.376602
x=-36.664757,y=38.126257
x=-36.790861,y=37.875900
x=-36.916347,y=37.625540
x=-37.041210,y=37.375187
x=-37.165442,y=37.124849
x=-37.289037,y=36.874537
x=-37.411990,y=36.624259
x=-37.534292,y=36.374025
x=-37.655938,y=36.123844
x=-37.776922,y=35.873726
x=-37.897236,y=35.623679
x=-38.016874,y=35.373712
x=-38.135831,y=35.123835
x=-38.254098,y=34.874057
x=-38.371670,y=34.624386
x=-38.488540,y=34.374833
x=-38.604702,y=34.125404
x=-38.720148,y=33.876111
x=-38.834873,y=33.626961
x=-38.948869,y=33.377963
x=-39.062131,y=33.129127
x=-39.174651,y=32.880460
x=-39.286423,y=32.631972
x=-39.397440,y=32.383671
x=-39.507696,y=32.135566
x=-39.617183,y=31.887665
x=-39.725896,y=31.639977
x=-39.833828,y=31.392511
x=-39.940972,y=31.145275
x=-40.047320,y=30.898276
x=-40.152868,y=30.651525
x=-40.257608,y=30.405028
x=-40.361533,y=30.158795
x=-40.464637,y=29.912833
x=-40.566913,y=29.667151
x=-40.668354,y=29.421756
x=-40.768954,y=29.176657
x=-40.868706,y=28.931862
x=-40.967603,y=28.687379
x=-41.065640,y=28.443216
x=-41.162808,y=28.199380
x=-41.259102,y=27.955880
x=-41.354515,y=27.712723
x=-41.449040,y=27.469917
x=-41.542671,y=27.227469
x=-41.635400,y=26.985388
x=-41.727222,y=26.743681
x=-41.818130,y=26.502355
x=-41.908117,y=26.261418
x=-41.997177,y=26.020877
x=-42.085302,y=25.780740
x=-42.172487,y=25.541014
x=-42.258725,y=25.301706
x=-42.344009,y=25.062824
x=-42.428333,y=24.824374
x=-42.511690,y=24.586364
x=-42.594074,y=24.348801
x=-42.675478,y=24.111691
x=-42.755896,y=23.875042
x=-42.835322,y=23.638861
x=-42.913748,y=23.403154
x=-42.991168,y=23.167928
x=-43.067577,y=22.933190
x=-43.142967,y=22.698947
x=-43.217333,y=22.465205
x=-43.290667,y=22.231970
x=-43.362964,y=21.999250
x=-43.434216,y=21.767050
x=-43.504419,y=21.535377
x=-43.573566,y=21.304237
x=-43.641649,y=21.073637
x=-43.708664,y=20.843583
x=-43.774604,y=20.614080
x=-43.839462,y=20.385136
x=-43.903233,y=20.156755
x=-43.965910,y=19.928945
x=-44.027487,y=19.701710
x=-44.087958,y=19.475057
x=-44.147317,y=19.248991
x=-44.205559,y=19.023519
x=-44.262676,y=18.798645
x=-44.318663,y=18.574376
x=-44.373515,y=18.350717
x=-44.427224,y=18.127673
x=-44.479786,y=17.905250
x=-44.531194,y=17.683454
x=-44.581442,y=17.462289
x=-44.630525,y=17.241761
x=-44.678437,y=17.021875
x=-44.725172,y=16.802636
x=-44.770724,y=16.584049
x=-44.815088,y=16.366119
x=-44.858259,y=16.148852
x=-44.900229,y=15.932251
x=-44.940995,y=15.716322
x=-44.980550,y=15.501070
x=-45.018889,y=15.286499
x=-45.056007,y=15.072614
x=-45.091897,y=14.859419
x=-45.126555,y=14.646920
x=-45.159975,y=14.435119
x=-45.192153,y=14.224023
x=-45.223082,y=14.013634
x=-45.252757,y=13.803958
x=-45.281174,y=13.594999
x=-45.308327,y=13.386760
x=-45.334211,y=13.179246
x=-45.358821,y=12.972461
x=-45.382152,y=12.766408
x=-45.404199,y=12.561092
x=-45.424957,y=12.356517
x=-45.444422,y=12.152686
x=-45.462587,y=11.949602
x=-45.479450,y=11.747271
x=-45.495004,y=11.545694
x=-45.509246,y=11.344876
x=-45.522170,y=11.144821
x=-45.533772,y=10.945531
x=-45.544047,y=10.747009
x=-45.552992,y=10.549260
x=-45.560601,y=10.352287
x=-45.566869,y=10.156091
x=-45.571794,y=9.960678
x=-45.575370,y=9.766049
x=-45.577594,y=9.572208
x=-45.578460,y=9.379157
x=-45.577966,y=9.186900
x=-45.576106,y=8.995439
x=-45.572877,y=8.804776
x=-45.568275,y=8.614916
x=-45.562296,y=8.425859
x=-45.554936,y=8.237610
x=-45.546191,y=8.050170
x=-45.536058,y=7.863541
x=-45.524533,y=7.677726
x=-45.511612,y=7.492728
x=-45.497292,y=7.308549
x=-45.481569,y=7.125190
x=-45.464439,y=6.942654
x=-45.445900,y=6.760944
x=-45.425948,y=6.580060
x=-45.404579,y=6.400006
