x=-120.023398,y=-49.032858
x=-119.923515,y=-49.028022
x=-119.823632,y=-49.023186
x=-119.723749,y=-49.018351
x=-119.623866,y=-49.013515
x=-119.523983,y=-49.008679
x=-119.424100,y=-49.003843
x=-119.324217,y=-48.999008
x=-119.224334,y=-48.994172
x=-119.124451,y=-48.989336
x=-119.024568,y=-48.984501
x=-118.924685,y=-48.979665
x=-118.824802,y=-48.974829
x=-118.724919,y=-48.969993
x=-118.625036,y=-48.965158
x=-118.525153,y=-48.960322
x=-118.425270,y=-48.955486
x=-118.325387,y=-48.950651
x=-118.225504,y=-48.945815
x=-118.125621,y=-48.940979
x=-118.025738,y=-48.936143
x=-117.925855,y=-48.931308
x=-117.825972,y=-48.926472
x=-117.726089,y=-48.921636
x=-117.626206,y=-48.916801
x=-117.526323,y=-48.911965
x=-117.426440,y=-48.907129
x=-117.326556,y=-48.902294
x=-117.226673,y=-48.897458
x=-117.126790,y=-48.892622
x=-117.026907,y=-48.887786
x=-116.927024,y=-48.882951
x=-116.827141,y=-48.878115
x=-116.727258,y=-48.873279
x=-116.627375,y=-48.868444
x=-116.527492,y=-48.863608
x=-116.427609,y=-48.858772
x=-116.327726,y=-48.853936
x=-116.227843,y=-48.849101
x=-116.127960,y=-48.844265
x=-116.028077,y=-48.839429
x=-115.928194,y=-48.834594
x=-115.828311,y=-48.829758
x=-115.728428,y=-48.824922
x=-115.628545,y=-48.820086
x=-115.528662,y=-48.815251
x=-115.428779,y=-48.810415
x=-115.328896,y=-48.805579
x=-115.229013,y=-48.800744
x=-115.129130,y=-48.795908
x=-115.029247,y=-48.791072
x=-114.929364,y=-48.786236
x=-114.829481,y=-48.781401
x=-114.729598,y=-48.776565
x=-114.629715,y=-48.771729
x=-114.529832,y=-48.766894
x=-114.429949,y=-48.762058
x=-114.330066,y=-48.757222
x=-114.230183,y=-48.752386
x=-114.130300,y=-48.747551
x=-114.030417,y=-48.742715
x=-113.930534,y=-48.737879
x=-113.830651,y=-48.733044
x=-113.730768,y=-48.728208
x=-113.630885,y=-48.723372
x=-113.531002,y=-48.718536
x=-113.431119,y=-48.713701
x=-113.331236,y=-48.708865
x=-113.231353,y=-48.704029
x=-113.131470,y=-48.699194
x=-113.031587,y=-48.694358
x=-112.931704,y=-48.689522
x=-112.831821,y=-48.684686
x=-112.731938,y=-48.679851
x=-112.632055,y=-48.675015
x=-112.532172,y=-48.670179
x=-112.432289,y=-48.665344
x=-112.332406,y=-48.660508
x=-112.232523,y=-48.655672
x=-112.132640,y=-48.650837
x=-112.032757,y=-48.646001
x=-111.932874,y=-48.641165
x=-111.832991,y=-48.636329
x=-111.733108,y=-48.631494
x=-111.633225,y=-48.626658
x=-111.533342,y=-48.621822
x=-111.433459,y=-48.616987
x=-111.333576,y=-48.612151
x=-111.233693,y=-48.607315
x=-111.133810,y=-48.602479
x=-111.033927,y=-48.597644
x=-110.934044,y=-48.592808
x=-110.834161,y=-48.587972
x=-110.734278,y=-48.583137
x=-110.634395,y=-48.578301
x=-110.534512,y=-48.573465
x=-110.434629,y=-48.568629
x=-110.334746,y=-48.563794
x=-110.234863,y=-48.558958
x=-110.134980,y=-48.554122
x=-110.035097,y=-48.549287
x=-109.935214,y=-48.544451
x=-109.835331,y=-48.539615
x=-109.735448,y=-48.534779
x=-109.635565,y=-48.529944
x=-109.535682,y=-48.525108
x=-109.435799,y=-48.520272
x=-109.335916,y=-48.515437
x=-109.236033,y=-48.510601
x=-109.136150,y=-48.505765
x=-109.036267,y=-48.500929
x=-108.936384,y=-48.496094
x=-108.836501,y=-48.491258
x=-108.736618,y=-48.486422
x=-108.636735,y=-48.481587
x=-108.536852,y=-48.476751
x=-108.436969,y=-48.471915
x=-108.337085,y=-48.467079
x=-108.237202,y=-48.462244
x=-108.137319,y=-48.457408
x=-108.037436,y=-48.452572
x=-107.937553,y=-48.447737
x=-107.837670,y=-48.442901
x=-107.737787,y=-48.438065
x=-107.637904,y=-48.433229
x=-107.538021,y=-48.428394
x=-107.438138,y=-48.423558
x=-107.338255,y=-48.418722
x=-107.238372,y=-48.413887
x=-107.138489,y=-48.409051
x=-107.038606,y=-48.404215
x=-106.938723,y=-48.399380
x=-106.838840,y=-48.394544
x=-106.738957,y=-48.389708
x=-106.639074,y=-48.384872
x=-106.539191,y=-48.380037
x=-106.439308,y=-48.375201
x=-106.339425,y=-48.370365
x=-106.239542,y=-48.365530
x=-106.139659,y=-48.360694
x=-106.039776,y=-48.355858
x=-105.939893,y=-48.351022
x=-105.840010,y=-48.346187
x=-105.740127,y=-48.341351
x=-105.640244,y=-48.336515
x=-105.540361,y=-48.331680
x=-105.440478,y=-48.326844
x=-105.340595,y=-48.322008
x=-105.240712,y=-48.317172
x=-105.140829,y=-48.312337
x=-105.040946,y=-48.307501
x=-104.941063,y=-48.302665
x=-104.841180,y=-48.297830
x=-104.741297,y=-48.292994
x=-104.641414,y=-48.288158
x=-104.541531,y=-48.283322
x=-104.441648,y=-48.278487
x=-104.341765,y=-48.273651
x=-104.241882,y=-48.268815
x=-104.141999,y=-48.263980
x=-104.042116,y=-48.259144
x=-103.942233,y=-48.254308
x=-103.842350,y=-48.249472
x=-103.742467,y=-48.244637
x=-103.642584,y=-48.239801
x=-103.542701,y=-48.234965
x=-103.442818,y=-48.230130
x=-103.342935,y=-48.225294
x=-103.243052,y=-48.220458
x=-103.143169,y=-48.215622
x=-103.043286,y=-48.210787
x=-102.943403,y=-48.205951
x=-102.843520,y=-48.201115
x=-102.743637,y=-48.196280
x=-102.643754,y=-48.191444
x=-102.543871,y=-48.186608
x=-102.443988,y=-48.181772
x=-102.344105,y=-48.176937
x=-102.244222,y=-48.172101
x=-102.144339,y=-48.167265
x=-102.044456,y=-48.162430
x=-101.944573,y=-48.157594
x=-101.844690,y=-48.152758
x=-101.744807,y=-48.147923
x=-101.644924,y=-48.143087
x=-101.545041,y=-48.138251
x=-101.445158,y=-48.133415
x=-101.345275,y=-48.128580
x=-101.245392,y=-48.123744
x=-101.145509,y=-48.118908
x=-101.045626,y=-48.114073
x=-100.945743,y=-48.109237
x=-100.845860,y=-48.104401
x=-100.745977,y=-48.099565
x=-100.646094,y=-48.094730
x=-100.546211,y=-48.089894
x=-100.446328,y=-48.085058
x=-100.346445,y=-48.080223
x=-100.246562,y=-48.075387
x=-100.146679,y=-48.070551
x=-100.046796,y=-48.065715
x=-99.946913,y=-48.060880
x=-99.847030,y=-48.056044
x=-99.747147,y=-48.051208
x=-99.647264,y=-48.046373
x=-99.547381,y=-48.041537
x=-99.447498,y=-48.036701
x=-99.347615,y=-48.031865
x=-99.247731,y=-48.027030
x=-99.147848,y=-48.022194
x=-99.047965,y=-48.017358
x=-98.948082,y=-48.012523
x=-98.848199,y=-48.007687
x=-98.748316,y=-48.002851
x=-98.648433,y=-47.998015
x=-98.548550,y=-47.993180
x=-98.448667,y=-47.988344
x=-98.348784,y=-47.983508
x=-98.248901,y=-47.978673
x=-98.149018,y=-47.973837
x=-98.049135,y=-47.969001
x=-97.949252,y=-47.964165
x=-97.849369,y=-47.959330
x=-97.749486,y=-47.954494
x=-97.649603,y=-47.949658
x=-97.549720,y=-47.944823
x=-97.449837,y=-47.939987
x=-97.349954,y=-47.935151
x=-97.250071,y=-47.930316
x=-97.150188,y=-47.925480
x=-97.050305,y=-47.920644
x=-96.950422,y=-47.915808
x=-96.850539,y=-47.910973
x=-96.750656,y=-47.906137
x=-96.650773,y=-47.901301
x=-96.550890,y=-47.896466
x=-96.451007,y=-47.891630
x=-96.351124,y=-47.886794
x=-96.251241,y=-47.881958
x=-96.151358,y=-47.877123
x=-96.051475,y=-47.872287
x=-95.951592,y=-47.867451
x=-95.851709,y=-47.862616
x=-95.751826,y=-47.857780
x=-95.651943,y=-47.852944
x=-95.552060,y=-47.848108
x=-95.452177,y=-47.843273
x=-95.352294,y=-47.838437
x=-95.252411,y=-47.833601
x=-95.152528,y=-47.828766
x=-95.052645,y=-47.823930
x=-94.952762,y=-47.819094
x=-94.852879,y=-47.814258
x=-94.752996,y=-47.809423
x=-94.653113,y=-47.804587
x=-94.553230,y=-47.799751
x=-94.453347,y=-47.794916
x=-94.353464,y=-47.790080
x=-94.253581,y=-47.785244
x=-94.153698,y=-47.780408
x=-94.053815,y=-47.775573
x=-93.953932,y=-47.770737
x=-93.854049,y=-47.765901
x=-93.754166,y=-47.761066
x=-93.654283,y=-47.756230
x=-93.554400,y=-47.751394
x=-93.454517,y=-47.746558
x=-93.354634,y=-47.741723
x=-93.254751,y=-47.736887
x=-93.154868,y=-47.732051
x=-93.054985,y=-47.727216
x=-92.955102,y=-47.722380
x=-92.855219,y=-47.717544
x=-92.755336,y=-47.712708
x=-92.655453,y=-47.707873
x=-92.555570,y=-47.703037
x=-92.455687,y=-47.698201
x=-92.355804,y=-47.693366
x=-92.255921,y=-47.688530
x=-92.156038,y=-47.683694
x=-92.056155,y=-47.678859
x=-91.956272,y=-47.674023
x=-91.856389,y=-47.669187
x=-91.756506,y=-47.664351
x=-91.656623,y=-47.659516
x=-91.556740,y=-47.654680
x=-91.456857,y=-47.649844
x=-91.356974,y=-47.645009
x=-91.257091,y=-47.640173
x=-91.157208,y=-47.635337
x=-91.057325,y=-47.630501
x=-90.957442,y=-47.625666
x=-90.857559,y=-47.620830
x=-90.757676,y=-47.615994
x=-90.657793,y=-47.611159
x=-90.557910,y=-47.606323
x=-90.458027,y=-47.601487
x=-90.358144,y=-47.596651
x=-90.258261,y=-47.591816
x=-90.158377,y=-47.586980
x=-90.058494,y=-47.582144
x=-89.958611,y=-47.577309
x=-89.858728,y=-47.572473
x=-89.758845,y=-47.567637
x=-89.658962,y=-47.562801
x=-89.559079,y=-47.557966
x=-89.459196,y=-47.553130
x=-89.359313,y=-47.548294
x=-89.259430,y=-47.543459
x=-89.159547,y=-47.538623
x=-89.059664,y=-47.533787
x=-88.959781,y=-47.528951
x=-88.859898,y=-47.524116
x=-88.760015,y=-47.519280
x=-88.660132,y=-47.514444
x=-88.560249,y=-47.509609
x=-88.460366,y=-47.504773
x=-88.360483,y=-47.499937
x=-88.260600,y=-47.495101
x=-88.160717,y=-47.490266
x=-88.060834,y=-47.485430
x=-87.960951,y=-47.480594
x=-87.861068,y=-47.475759
x=-87.761185,y=-47.470923
x=-87.661302,y=-47.466087
x=-87.561419,y=-47.461251
x=-87.461536,y=-47.456416
x=-87.361653,y=-47.451580
x=-87.261770,y=-47.446744
