x=-54.674152,y=-12.871753
x=-54.622523,y=-12.786111
x=-54.570893,y=-12.700470
x=-54.519264,y=-12.614829
x=-54.467635,y=-12.529188
x=-54.416006,y=-12.443546
x=-54.364377,y=-12.357905
x=-54.312747,y=-12.272264
x=-54.261118,y=-12.186623
x=-54.209489,y=-12.100981
x=-54.157860,y=-12.015340
x=-54.106230,y=-11.929699
x=-54.054601,y=-11.844058
x=-54.002972,y=-11.758416
x=-53.951343,y=-11.672775
x=-53.899713,y=-11.587134
x=-53.848084,y=-11.501493
x=-53.796455,y=-11.415851
x=-53.744826,y=-11.330210
x=-53.693196,y=-11.244569
x=-53.641567,y=-11.158928
x=-53.589938,y=-11.073287
x=-53.538309,y=-10.987645
x=-53.486679,y=-10.902004
x=-53.435050,y=-10.816363
x=-53.383421,y=-10.730722
x=-53.331792,y=-10.645080
x=-53.280162,y=-10.559439
x=-53.228533,y=-10.473798
x=-53.176904,y=-10.388157
x=-53.125275,y=-10.302515
x=-53.073646,y=-10.216874
x=-53.022016,y=-10.131233
x=-52.970387,y=-10.045592
x=-52.918758,y=-9.959950
x=-52.867129,y=-9.874309
x=-52.815499,y=-9.788668
x=-52.763870,y=-9.703027
x=-52.712241,y=-9.617385
x=-52.660612,y=-9.531744
x=-52.608982,y=-9.446103
x=-52.557353,y=-9.360462
x=-52.505724,y=-9.274821
x=-52.454095,y=-9.189179
x=-52.402465,y=-9.103538
x=-52.350836,y=-9.017897
x=-52.299207,y=-8.932256
x=-52.247578,y=-8.846614
x=-52.195948,y=-8.760973
x=-52.144319,y=-8.675332
x=-52.092690,y=-8.589691
x=-52.041061,y=-8.504049
x=-51.989431,y=-8.418408
x=-51.937802,y=-8.332767
x=-51.886173,y=-8.247126
x=-51.834544,y=-8.161484
x=-51.782914,y=-8.075843
x=-51.731285,y=-7.990202
x=-51.679656,y=-7.904561
x=-51.628027,y=-7.818920
x=-51.576398,y=-7.733278
x=-51.524768,y=-7.647637
x=-51.473139,y=-7.561996
x=-51.421510,y=-7.476355
x=-51.369881,y=-7.390713
x=-51.318251,y=-7.305072
x=-51.266622,y=-7.219431
x=-51.214993,y=-7.133790
x=-51.163364,y=-7.048148
x=-51.111734,y=-6.962507
x=-51.060105,y=-6.876866
x=-51.008476,y=-6.791225
x=-50.956847,y=-6.705583
x=-50.905217,y=-6.619942
x=-50.853588,y=-6.534301
x=-50.801959,y=-6.448660
x=-50.750330,y=-6.363018
x=-50.698700,y=-6.277377
x=-50.647071,y=-6.191736
x=-50.595442,y=-6.106095
x=-50.543813,y=-6.020454
x=-50.492183,y=-5.934812
x=-50.440554,y=-5.849171
x=-50.388925,y=-5.763530
x=-50.337296,y=-5.677889
x=-50.285667,y=-5.592247
x=-50.234037,y=-5.506606
x=-50.182408,y=-5.420965
x=-50.130779,y=-5.335324
x=-50.079150,y=-5.249682
x=-50.027520,y=-5.164041
x=-49.975891,y=-5.078400
x=-49.924262,y=-4.992759
x=-49.872633,y=-4.907117
x=-49.821003,y=-4.821476
x=-49.769374,y=-4.735835
x=-49.717745,y=-4.650194
x=-49.666116,y=-4.564552
x=-49.614486,y=-4.478911
x=-49.562857,y=-4.393270
x=-49.511228,y=-4.307629
x=-49.459599,y=-4.221988
x=-49.407969,y=-4.136346
x=-49.356340,y=-4.050705
x=-49.304711,y=-3.965064
x=-49.253082,y=-3.879423
x=-49.201452,y=-3.793781
x=-49.149823,y=-3.708140
x=-49.098194,y=-3.622499
x=-49.046565,y=-3.536858
x=-48.994936,y=-3.451216
x=-48.943306,y=-3.365575
x=-48.891677,y=-3.279934
x=-48.840048,y=-3.194293
x=-48.788419,y=-3.108651
x=-48.736789,y=-3.023010
x=-48.685160,y=-2.937369
x=-48.633531,y=-2.851728
x=-48.581902,y=-2.766086
x=-48.530272,y=-2.680445
x=-48.478643,y=-2.594804
x=-48.427014,y=-2.509163
x=-48.375385,y=-2.423522
x=-48.323755,y=-2.337880
x=-48.272126,y=-2.252239
x=-48.220497,y=-2.166598
x=-48.168868,y=-2.080957
x=-48.117238,y=-1.995315
x=-48.065609,y=-1.909674
x=-48.013980,y=-1.824033
x=-47.962351,y=-1.738392
x=-47.910721,y=-1.652750
x=-47.859092,y=-1.567109
x=-47.807463,y=-1.481468
x=-47.755834,y=-1.395827
x=-47.704205,y=-1.310185
x=-47.652575,y=-1.224544
x=-47.600946,y=-1.138903
x=-47.549317,y=-1.053262
x=-47.497688,y=-0.967621
x=-47.446058,y=-0.881979
x=-47.394429,y=-0.796338
x=-47.342800,y=-0.710697
x=-47.291171,y=-0.625056
x=-47.239541,y=-0.539414
x=-47.187912,y=-0.453773
x=-47.136283,y=-0.368132
x=-47.084654,y=-0.282491
x=-47.033024,y=-0.196849
x=-46.981395,y=-0.111208
x=-46.929766,y=-0.025567
x=-46.878137,y=0.060074
x=-46.826507,y=0.145716
x=-46.774878,y=0.231357
x=-46.723249,y=0.316998
x=-46.671620,y=0.402639
x=-46.619990,y=0.488281
x=-46.568361,y=0.573922
x=-46.516732,y=0.659563
x=-46.465103,y=0.745204
x=-46.413474,y=0.830845
x=-46.361844,y=0.916487
x=-46.310215,y=1.002128
x=-46.258586,y=1.087769
x=-46.206957,y=1.173410
x=-46.155327,y=1.259052
x=-46.103698,y=1.344693
x=-46.052069,y=1.430334
x=-46.000440,y=1.515975
x=-45.948810,y=1.601617
x=-45.897181,y=1.687258
x=-45.845552,y=1.772899
x=-45.793923,y=1.858540
x=-45.742293,y=1.944182
x=-45.690664,y=2.029823
x=-45.639035,y=2.115464
x=-45.587406,y=2.201105
x=-45.535776,y=2.286747
x=-45.484147,y=2.372388
x=-45.432518,y=2.458029
x=-45.380889,y=2.543670
x=-45.329259,y=2.629311
x=-45.277630,y=2.714953
x=-45.226001,y=2.800594
x=-45.174372,y=2.886235
x=-45.122743,y=2.971876
x=-45.071113,y=3.057518
x=-45.019484,y=3.143159
x=-44.967855,y=3.228800
x=-44.916226,y=3.314441
x=-44.864596,y=3.400083
x=-44.812967,y=3.485724
x=-44.761338,y=3.571365
x=-44.709709,y=3.657006
x=-44.658079,y=3.742648
x=-44.606450,y=3.828289
x=-44.554821,y=3.913930
x=-44.503192,y=3.999571
x=-44.451562,y=4.085213
x=-44.399933,y=4.170854
x=-44.348304,y=4.256495
x=-44.296675,y=4.342136
x=-44.245045,y=4.427777
x=-44.193416,y=4.513419
x=-44.141787,y=4.599060
x=-44.090158,y=4.684701
x=-44.038528,y=4.770342
x=-43.986899,y=4.855984
x=-43.935270,y=4.941625
x=-43.883641,y=5.027266
x=-43.832011,y=5.112907
x=-43.780382,y=5.198549
x=-43.728753,y=5.284190
x=-43.677124,y=5.369831
x=-43.625495,y=5.455472
x=-43.573865,y=5.541114
x=-43.522236,y=5.626755
x=-43.470607,y=5.712396
x=-43.418978,y=5.798037
x=-43.367348,y=5.883678
x=-43.315719,y=5.969320
x=-43.264090,y=6.054961
x=-43.212461,y=6.140602
x=-43.160831,y=6.226243
x=-43.109202,y=6.311885
x=-43.057573,y=6.397526
x=-43.005944,y=6.483167
x=-42.954314,y=6.568808
x=-42.902685,y=6.654450
x=-42.851056,y=6.740091
x=-42.799427,y=6.825732
x=-42.747797,y=6.911373
x=-42.696168,y=6.997015
x=-42.644539,y=7.082656
x=-42.592910,y=7.168297
x=-42.541280,y=7.253938
x=-42.489651,y=7.339580
x=-42.438022,y=7.425221
x=-42.386393,y=7.510862
x=-42.334764,y=7.596503
x=-42.283134,y=7.682144
x=-42.231505,y=7.767786
x=-42.179876,y=7.853427
x=-42.128247,y=7.939068
x=-42.076617,y=8.024709
x=-42.024988,y=8.110351
x=-41.973359,y=8.195992
x=-41.921730,y=8.281633
x=-41.870100,y=8.367274
x=-41.818471,y=8.452916
x=-41.766842,y=8.538557
x=-41.724610,y=8.608610
x=-41.726753,y=8.544303
x=-41.728897,y=8.479997
x=-41.731040,y=8.415690
x=-41.733184,y=8.351384
x=-41.735327,y=8.287077
x=-41.737471,y=8.222770
x=-41.739614,y=8.158464
x=-41.741757,y=8.094157
x=-41.743901,y=8.029851
x=-41.746044,y=7.965544
x=-41.748188,y=7.901238
x=-41.750331,y=7.836931
x=-41.752475,y=7.772624
x=-41.754618,y=7.708318
x=-41.756761,y=7.644011
x=-41.758905,y=7.579705
x=-41.759610,y=7.558550
x=-41.768943,y=7.458987
x=-41.778277,y=7.359423
x=-41.787610,y=7.259860
x=-41.796944,y=7.160296
x=-41.806277,y=7.060733
x=-41.815611,y=6.961169
x=-41.824944,y=6.861606
x=-41.834278,y=6.762042
x=-41.843611,y=6.662479
x=-41.852945,y=6.562915
